2016-09-30 10:25:56,042 [Worker-246] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:25:56,043 [Worker-246] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-30 10:26:21,868 [Worker-203] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:26:21,868 [Worker-203] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-30 10:26:21,876 [Worker-203] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:26:21,878 [Worker-203] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-30 10:26:48,788 [Worker-245] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:26:48,789 [Worker-245] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-30 10:26:48,790 [Worker-245] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:26:48,791 [Worker-245] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-30 10:28:28,529 [Worker-246] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:28:28,530 [Worker-246] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-30 10:28:28,531 [Worker-246] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:28:28,532 [Worker-246] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-30 10:35:42,463 [Worker-253] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:35:42,464 [Worker-253] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-30 10:35:42,465 [Worker-253] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:35:42,466 [Worker-253] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-30 10:42:08,786 [Worker-249] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-30 10:42:08,787 [Worker-249] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
